Date,Close,High,Low,Open,Volume
2023/05/12,2014.5,2014.5,2014.5,2014.5,115
2023/05/15,2018,2018,2013.800049,2013.800049,3
2023/05/16,1988.400024,1988.400024,1988.400024,1988.400024,49
2023/05/17,1980.699951,1983.599976,1980.699951,1983.599976,13
2023/05/18,1956.5,1956.800049,1956.5,1956.5,23
2023/05/19,1978.699951,1978.699951,1960,1960,106
2023/05/22,1974.800049,1980.5,1974.800049,1980.5,8
2023/05/23,1972.400024,1972.400024,1972.400024,1972.400024,1
2023/05/24,1962.800049,1975.400024,1962.800049,1975.400024,189
2023/05/25,1943.099976,1943.099976,1943.099976,1943.099976,1
2023/05/26,1944.099976,1948.400024,1944.099976,1948.199951,166036
2023/05/30,1958,1962.599976,1931,1942.699951,37838
2023/05/31,1963.900024,1973,1953,1958.199951,5959
2023/06/01,1978,1983,1954.300049,1963.199951,750
2023/06/02,1952.400024,1982.5,1947.400024,1977.099976,356
2023/06/05,1958,1961.900024,1937.800049,1947.5,713
2023/06/06,1965.5,1965.5,1958.800049,1960.800049,164
2023/06/07,1942.699951,1968.400024,1940.699951,1959,139
2023/06/08,1963.599976,1969,1943.099976,1943.199951,433
2023/06/09,1962.199951,1969.800049,1960.300049,1965.099976,49
2023/06/12,1955.300049,1963.5,1951.400024,1959.699951,212
2023/06/13,1944.599976,1967.5,1940.300049,1960.599976,343
2023/06/14,1955.300049,1958.199951,1940.300049,1946.199951,202
2023/06/15,1957.800049,1958.800049,1926,1941.699951,329
2023/06/16,1958.400024,1962.900024,1953.5,1961.400024,119
2023/06/20,1935.5,1958.599976,1931.300049,1958.599976,193
2023/06/21,1933.300049,1936.800049,1920,1935.599976,557
2023/06/22,1912.699951,1921,1912.099976,1920,237
2023/06/23,1919.099976,1932.5,1918.699951,1918.699951,105
2023/06/26,1923.699951,1928.5,1922.5,1922.900024,71
2023/06/27,1914,1929.400024,1914,1927,49
2023/06/28,1912.300049,1912.300049,1912.300049,1912.300049,628
2023/06/29,1909.199951,1909.900024,1892.5,1909.900024,289
2023/06/30,1921.099976,1921.099976,1900.599976,1908.599976,445
2023/07/03,1921.699951,1929.5,1917.900024,1917.900024,41
2023/07/05,1919.599976,1933.900024,1914.699951,1923.5,193
2023/07/06,1908.699951,1910.199951,1903.199951,1909.300049,81
2023/07/07,1926.199951,1934.099976,1913.400024,1913.400024,61
2023/07/10,1925,1926.099976,1912.300049,1923.599976,269
2023/07/11,1931.300049,1937,1924.199951,1925,142
2023/07/12,1956.199951,1958,1932.199951,1932.300049,132
2023/07/13,1959.199951,1961.099976,1953,1961.099976,121
2023/07/14,1960.099976,1960.599976,1952.699951,1958.400024,94
2023/07/17,1952.400024,1956.5,1946.599976,1954,29
2023/07/18,1977.199951,1978.400024,1963.400024,1968.800049,83
2023/07/19,1977.5,1977.5,1973,1977,35
2023/07/20,1968.300049,1973.699951,1965.599976,1973.699951,638
2023/07/21,1964.300049,1964.300049,1961.800049,1961.800049,50
2023/07/24,1960.300049,1965.5,1960.300049,1965.300049,2
2023/07/25,1962.099976,1962.5,1953,1953,19
2023/07/26,1968.900024,1972,1966.199951,1966.199951,51
2023/07/27,1945.400024,1945.400024,1945.400024,1945.400024,194253
2023/07/28,1960.400024,1962.199951,1944.199951,1945.5,23155
2023/07/31,1970.5,1971.599976,1950,1959.199951,1025
2023/08/01,1940.699951,1965.400024,1940.699951,1964.900024,688
2023/08/02,1937.400024,1953.599976,1933.199951,1948.400024,652
2023/08/03,1932,1936.5,1928,1934.199951,773
2023/08/04,1939.599976,1945,1920,1934.900024,290
2023/08/07,1933.5,1941,1929.800049,1941,376
2023/08/08,1924.099976,1933.199951,1923,1931.699951,555
2023/08/09,1915.400024,1928.800049,1913.699951,1925.400024,451
2023/08/10,1914.400024,1927.800049,1911.400024,1921.099976,178
2023/08/11,1912.900024,1916.599976,1911.800049,1913,57
2023/08/14,1910.599976,1912.599976,1903.300049,1909.300049,46
2023/08/15,1902.5,1907.699951,1895,1906,73
2023/08/16,1896.099976,1904.5,1890.300049,1904.5,22
2023/08/17,1884.099976,1902.400024,1884,1893.699951,245
